Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,DaSpecificare,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,TipoVeicolo,StatoVeicolo,Marca,Modello,Deceduto,DecedutoDopo
Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione con,VIA PONTINA,VIA PONTINA,,0,0,0,2,12.45710,41.80991,Autovettura privata,In marcia / fermata / arresto,Mercedes,C 250,0,
Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione con,VIA PONTINA,VIA PONTINA,,0,0,0,2,12.45710,41.80991,Autovettura privata,In marcia / fermata / arresto,BMW,Mini,0,
Strada Urbana,VIA PRENESTINA,all'intersezione semaforizzata con,VIALE PALMIRO TOGLIATTI,VIALE PALMIRO TOGLIATTI,,0,0,0,2,12.57527,41.89489,Autovettura privata,In marcia / fermata / arresto,Fiat,Brava,0,
Strada Urbana,VIA PRENESTINA,all'intersezione semaforizzata con,VIALE PALMIRO TOGLIATTI,VIALE PALMIRO TOGLIATTI,,0,0,0,2,12.57527,41.89489,Autovettura privata,In marcia / fermata / arresto,Opel,Astra,0,
Strada Urbana,VIALE PALMIRO TOGLIATTI,in prossimit�,,del civico n.,,0,0,0,3,12.57153,41.87683,Autovettura privata,In marcia / fermata / arresto,Toyota,Auris,0,
Strada Urbana,VIALE PALMIRO TOGLIATTI,in prossimit�,,del civico n.,,0,0,0,3,12.57153,41.87683,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIALE PALMIRO TOGLIATTI,in prossimit�,,del civico n.,,0,0,0,3,12.57153,41.87683,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIA TOR DE' SCHIAVI,all'intersezione con,VIA DEI GLICINI,VIA DEI GLICINI,,0,0,0,3,12.56380,41.87968,Autovettura privata,In marcia / fermata / arresto,Mercedes,Classe A 140,0,
Strada Urbana,VIA TOR DE' SCHIAVI,all'intersezione con,VIA DEI GLICINI,VIA DEI GLICINI,,0,0,0,3,12.56380,41.87968,Autovettura privata,In marcia / fermata / arresto,Daewoo,Matiz,0,
Strada Urbana,VIA TOR DE' SCHIAVI,all'intersezione con,VIA DEI GLICINI,VIA DEI GLICINI,,0,0,0,3,12.56380,41.87968,Autovettura privata,In marcia / fermata / arresto,Daewoo,Matiz,0,
Regionale entro l'abitato,VIA CASSIA,in corrispondenza,,del civico n.,,0,0,0,1,12.42788,41.97420,Autovettura privata,In marcia / fermata / arresto,Ford,Fiesta,0,
Strada Urbana,LUNGOTEVERE RIPA,all'intersezione con,VIA RIPENSE,VIA RIPENSE,,1,0,0,2,12.47885,41.88786,Autovettura privata,In marcia / fermata / arresto,Citroen,ZX,0,
Strada Urbana,LUNGOTEVERE RIPA,all'intersezione con,VIA RIPENSE,VIA RIPENSE,,1,0,0,2,12.47885,41.88786,Autovettura privata,In marcia / fermata / arresto,Citroen,ZX,0,
Strada Urbana,LUNGOTEVERE RIPA,all'intersezione con,VIA RIPENSE,VIA RIPENSE,,1,0,0,2,12.47885,41.88786,Motociclo a solo,In marcia / fermata / arresto,Yamaha,Majesty 400,0,NON DECEDUTO
Strada Urbana,PIAZZA PIO XI,all'intersezione semaforizzata con,VIA ANASTASIO II,VIA ANASTASIO II,,1,0,0,0,12.43807,41.89447,Motociclo a solo,In marcia / fermata / arresto,Honda,Vision,0,NON DECEDUTO
Strada Urbana,VIA CIRO IL GRANDE,in prossimit�,,del civico n.,,1,0,0,1,12.46987,41.83619,,,,,0,NON DECEDUTO
Strada Urbana,VIA CIRO IL GRANDE,in prossimit�,,del civico n.,,1,0,0,1,12.46987,41.83619,Autocarro inferiore 35 q.,In marcia / fermata / arresto,Iveco,Daily 35,0,
