COD REG,REGIONE,COD PROV,CODICE,NOME STRADA,DA KM,A KM,ANNO 2015,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),462.6,463,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),463,463.3,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),463.6,464,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),464,465,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),465,465.7,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),466.6,467,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),467,468,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),468,469,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),471.3,472,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),472,473,1,0,0,1,0,1,0,0,1,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),473,474,1,0,0,4,0,1,0,0,1,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),474,475,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),475,476,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),476,477,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),477,478,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),482.3,483,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),483,484,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),484,485,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),485,486,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),486,487,2,0,0,4,0,1,1,0,1,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),487,488,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),488,489,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),489,490,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),490,491,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),491,491.8,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),494.9,495,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),495,496,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),496,497,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),497,497.9,2,0,0,3,0,0,0,1,1,0,0,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),498.6,499,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),499,499.1,2,0,0,3,0,0,0,0,2,0,0,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),499.1,500,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),500,501,3,0,0,6,0,2,0,1,1,0,1,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),501,502,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),502,503,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),503,503.5,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),503.5,504,1,0,0,1,0,1,0,0,1,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),504,504.3,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),504.3,505,3,0,0,7,0,1,0,0,2,0,1,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),505,506,4,1,1,3,1,0,0,0,0,0,4,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),506,507,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),507,508,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),508,509,1,0,0,2,0,1,0,1,0,0,0,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),509,510,2,0,0,3,0,1,0,0,1,0,1,0
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),510,511,3,0,0,5,0,1,0,0,1,0,1,1
12,Lazio,57,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),511,511.3,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),511.3,512,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),512,513,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,56,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),513,513.3,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),513.3,514,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),514,515,1,0,0,4,0,0,0,0,0,0,1,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),515,516,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),516,517,1,0,0,2,0,0,0,0,1,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),517,518,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),518,519,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),519,520,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),520,521,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),521,522,1,0,0,1,0,1,0,0,1,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),522,523,2,0,0,5,0,1,0,0,1,0,1,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),523,524,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),524,525,2,0,0,2,0,1,0,0,0,0,2,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),525,526,2,0,0,3,0,0,0,0,1,0,1,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),526,527,2,0,0,7,0,1,0,0,2,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),527,528,1,0,0,2,0,0,0,0,0,0,1,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),528,529,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),529,530,1,0,0,2,0,1,0,1,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),530,531,2,0,0,2,0,2,0,0,0,0,2,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),531,532,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),532,533,1,0,0,1,0,1,0,0,1,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),533,534,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),534,535,1,0,0,2,0,0,0,0,0,0,1,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),535,536,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),536,537,1,0,0,3,0,1,0,0,1,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),537,538,1,0,0,2,0,0,0,0,0,0,1,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),538,539,1,0,0,2,0,1,0,0,0,0,1,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),539,540,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),540,541,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),541,542,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),542,543,0,0,0,0,0,0,0,0,0,0,0,0
12,Lazio,58,AA00101,A 01 -  Milano-Roma-Napoli (del Sole),543,544,0,0,0,0,0,0,0,0,0,0,0,0
