stop_name,latitude,longitude
Ceccano,41.573590,13.336308
Scurcola Marsicana,42.053076,13.344386
Tagliacozzo,42.070691,13.255704
Aielli,42.062107,13.581162
Carrito Ortona,42.026463,13.720198
Bugnara,42.031180,13.862029
Montalto di Castro,42.334387,11.595095
Roma Ostiense,41.872362,12.484440
Settebagni,42.006374,12.520168
Caserta,41.068655,14.328207
Prezza,42.053721,13.834493
Castel Madama,41.988362,12.864944
Napoli Centrale,40.852948,14.272946
Alberese,42.639311,11.134380
La Storta,42.002853,12.380691
Ponte Galeria,41.818408,12.344730
Torricola,41.809481,12.557676
Muratella,41.824775,12.408648
Villa Bonelli,41.847902,12.455112
Fiera di Roma,41.810020,12.319127
Olgiata,42.014630,12.363741
Roma Trastevere,41.872385,12.466139
Roma San Pietro,41.896065,12.454467
Appiano Proba Petronia,41.911906,12.438886
Gemelli,41.927852,12.427862
Parco Leonardo,41.799809,12.296186
Roma San Filippo Neri,41.946703,12.416304
Cesano di Roma,42.061892,12.326501
Capannelle,41.830764,12.568833
Magliana,41.834296,12.430979
Fidene,41.979177,12.508455
Quattro Venti,41.878598,12.458787
Ipogeo degli Ottavi,41.968752,12.408857
Roma Tiburtina,41.911082,12.531088
Fiumicino Aeroporto,41.793499,12.251837
Roma Tuscolana,41.879237,12.523672
Roma Monte Mario,41.939064,12.421741
Roma Balduina,41.920067,12.436624
La Giustiniana,41.985294,12.403301
Ottavia,41.960357,12.410142
Fara Sabina-Montelibretti,42.155614,12.648389
Roma Nomentana,41.932639,12.523367
Civitavecchia,42.088122,11.798736
Ladispoli - Cerveteri,41.953279,12.081988
Maccarese - Fregene,41.878981,12.237345
Marina di Cerveteri,41.979226,12.047786
Roma Aurelia,41.883045,12.394187
Santa Severa,42.020651,11.969048
Torre in Pietra - Palidoro,41.924273,12.183337
Santa Marinella,42.035994,11.863058
Cerchio,42.061096,13.598399
Sante Marie,42.097022,13.216956
Pescina,42.037570,13.668957
Anversa-Villalago-Scanno,42.017403,13.835727
Cocullo,42.040740,13.776635
Goriano Sicoli,42.082818,13.783782
Tora - Presenzano,41.358808,14.044612
Ferentino,41.655689,13.247637
Isoletta-San Giovanni Incarico,41.528055,13.547261
Morolo,41.666992,13.194586
Roviano,42.026498,12.991343
Albinia,42.502307,11.211266
